Tag, Neural Net, Random Forest, SVM, AdaBoost, Decision Tree, Naive Bayes, Nearest Neighbors, Best, Best Accuracy, Average
ISS Structure, 0.953329424, 0.960823142, 0.957365297, 0.97637957, 0.967737171, 0.749762428, 0.984060063, Nearest Neighbors, 0.984060063, 0.935636728
Day, 0.857887587, 0.931826559, 0.734781716, 0.956790018, 0.945651675, 0.868451402, 0.963128233, Nearest Neighbors, 0.963128233, 0.894073884
Movie, 0.989631996, 0.994622952, 0.994622952, 0.994237968, 0.991549353, 0.697168953, 0.99423889, Random Forest, 0.994622952, 0.950867581
Night, 0.971193345, 0.967352361, 0.966775807, 0.98232892, 0.97426584, 0.830998665, 0.988283074, Nearest Neighbors, 0.988283074, 0.954456859
Inside ISS, 0.979454632, 0.973689838, 0.970040607, 0.990781414, 0.982138091, 0.768005725, 0.99078215, Nearest Neighbors, 0.99078215, 0.950698923
Deployed satellite, 0.989054891, 0.993854093, 0.993278278, 0.995583384, 0.992701909, 0.78127004, 0.992510523, AdaBoost, 0.995583384, 0.962607588
Surface, 0.987326334, 0.98982172, 0.98982172, 0.98943729, 0.987132367, 0.578824456, 0.988477043, Random Forest, 0.98982172, 0.930120133
Agriculture, 0.997311569, 0.997695631, 0.997695631, 0.996927139, 0.995966893, 0.655834029, 0.996927323, Random Forest, 0.997695631, 0.948336888
Volcano, 0.992894401, 0.992894401, 0.992894401, 0.991741847, 0.98962997, 0.764933135, 0.991933417, Neural Net, 0.992894401, 0.959560224
Aurora, 0.992702276, 0.992702275, 0.992510337, 0.995390891, 0.990398828, 0.86248969, 0.995006092, AdaBoost, 0.995390891, 0.974457198
Clouds, 0.976187263, 0.979834833, 0.979834833, 0.985788432, 0.977146402, 0.554254085, 0.99039754, Nearest Neighbors, 0.99039754, 0.920491913
Sun, 0.994429722, 0.990782151, 0.990589844, 0.998079877, 0.995774954, 0.995198768, 0.993086706, AdaBoost, 0.998079877, 0.993991717
Solar Panels, 0.999231877, 0.999616123, 0.999616123, 0.999232061, 0.999615938, 0.999616123, 0.999616123, Random Forest, 0.999616123, 0.999506338
Hurricane, 0.913961365, 0.916266472, 0.904935642, 0.969462775, 0.943921484, 0.747450499, 0.988476679, Nearest Neighbors, 0.988476679, 0.912067845
Moon, 0.962361047, 0.972536005, 0.89610149, 0.991934155, 0.98348351, 0.909353917, 0.987132556, AdaBoost, 0.991934155, 0.957557526
Solar Eclipse, 0.977529542, 0.978874587, 0.977338525, 0.989244618, 0.985980002, 0.797007713, 0.98809317, AdaBoost, 0.989244618, 0.956295451
Spacecraft, 0.972345531, 0.977722394, 0.977338517, 0.983099626, 0.979834641, 0.736124365, 0.98732615, Nearest Neighbors, 0.98732615, 0.944827318
Dock Undock, 0.972151935, 0.977530456, 0.977338517, 0.983099626, 0.98041101, 0.736124365, 0.98732615, Nearest Neighbors, 0.98732615, 0.94485458
Atmosphere, 0.891488695, 0.895717981, 0.884770476, 0.948915575, 0.924139826, 0.658535367, 0.979066157, Nearest Neighbors, 0.979066157, 0.883233439
Cupola, 0.979069841, 0.977337595, 0.972345162, 0.99231932, 0.982332979, 0.771656433, 0.993278644, Nearest Neighbors, 0.993278644, 0.952619996
Average, 0.967477164, 0.973075078, 0.957499794, 0.985538725, 0.978490642, 0.773153008, 0.988957334, Nearest Neighbors, 0.98985043, 0.946313106
